"id","Step Width (Hind)_avg_cycle_length","Step Width (Hind)_avg_cycle_max","Step Width (Hind)_avg_cycle_min","Step Width (Front)_avg_cycle_length","Step Width (Front)_avg_cycle_max","Step Width (Front)_avg_cycle_min","Step Length (Left)_avg_cycle_length","Step Length (Left)_avg_cycle_max","Step Length (Left)_avg_cycle_min","Step Length (Right)_avg_cycle_length","Step Length (Right)_avg_cycle_max","Step Length (Right)_avg_cycle_min","Toe Clearance Forepaw (Right)_avg_cycle_length","Toe Clearance Forepaw (Right)_avg_cycle_max","Toe Clearance Forepaw (Right)_avg_cycle_min","Toe Clearance Hindpaw (Right)_avg_cycle_length","Toe Clearance Hindpaw (Right)_avg_cycle_max","Toe Clearance Hindpaw (Right)_avg_cycle_min","Toe Clearance Forepaw (Left)_avg_cycle_length","Toe Clearance Forepaw (Left)_avg_cycle_max","Toe Clearance Forepaw (Left)_avg_cycle_min","Toe Clearance Hindpaw (Left)_avg_cycle_length","Toe Clearance Hindpaw (Left)_avg_cycle_max","Toe Clearance Hindpaw (Left)_avg_cycle_min","Iliac Crest Height (Right)_avg_cycle_length","Iliac Crest Height (Right)_avg_cycle_max","Iliac Crest Height (Right)_avg_cycle_min","Iliac Crest Height (Left)_avg_cycle_length","Iliac Crest Height (Left)_avg_cycle_max","Iliac Crest Height (Left)_avg_cycle_min","Hip Height (Right)_avg_cycle_length","Hip Height (Right)_avg_cycle_max","Hip Height (Right)_avg_cycle_min","Hip Height (Left)_avg_cycle_length","Hip Height (Left)_avg_cycle_max","Hip Height (Left)_avg_cycle_min","Tail Base Height (Right)_avg_cycle_length","Tail Base Height (Right)_avg_cycle_max","Tail Base Height (Right)_avg_cycle_min","Tail Base Height (Left)_avg_cycle_length","Tail Base Height (Left)_avg_cycle_max","Tail Base Height (Left)_avg_cycle_min","Shoulder Height (Right)_avg_cycle_length","Shoulder Height (Right)_avg_cycle_max","Shoulder Height (Right)_avg_cycle_min","Shoulder Height (Left)_avg_cycle_length","Shoulder Height (Left)_avg_cycle_max","Shoulder Height (Left)_avg_cycle_min","Protraction/Retraction (Right)_avg_cycle_length","Protraction/Retraction (Right)_avg_cycle_max","Protraction/Retraction (Right)_avg_cycle_min","Protraction/Retraction (Left)_avg_cycle_length","Protraction/Retraction (Left)_avg_cycle_max","Protraction/Retraction (Left)_avg_cycle_min","Nose Height_avg_cycle_length","Nose Height_avg_cycle_max","Nose Height_avg_cycle_min","Tail Tip Height_avg_cycle_length","Tail Tip Height_avg_cycle_max","Tail Tip Height_avg_cycle_min","Front Paw Drag (Right)_avg_cycle_length","Front Paw Drag (Right)_avg_cycle_max","Front Paw Drag (Right)_avg_cycle_min","Front Paw Drag (Left)_avg_cycle_length","Front Paw Drag (Left)_avg_cycle_max","Front Paw Drag (Left)_avg_cycle_min","Hind Paw Drag (Right)_avg_cycle_length","Hind Paw Drag (Right)_avg_cycle_max","Hind Paw Drag (Right)_avg_cycle_min","Hind Paw Drag (Left)_avg_cycle_length","Hind Paw Drag (Left)_avg_cycle_max","Hind Paw Drag (Left)_avg_cycle_min","Head Rotation_avg_cycle_length","Head Rotation_avg_cycle_max","Head Rotation_avg_cycle_min","Hip Angle (Right)_avg_cycle_length","Hip Angle (Right)_avg_cycle_max","Hip Angle (Right)_avg_cycle_min","Knee Angle (Right)_avg_cycle_length","Knee Angle (Right)_avg_cycle_max","Knee Angle (Right)_avg_cycle_min","Shoulder Angle (Right)_avg_cycle_length","Shoulder Angle (Right)_avg_cycle_max","Shoulder Angle (Right)_avg_cycle_min","Shoulder Angle (Left)_avg_cycle_length","Shoulder Angle (Left)_avg_cycle_max","Shoulder Angle (Left)_avg_cycle_min","Elbow Angle (Right)_avg_cycle_length","Elbow Angle (Right)_avg_cycle_max","Elbow Angle (Right)_avg_cycle_min","Elbow Angle (Left)_avg_cycle_length","Elbow Angle (Left)_avg_cycle_max","Elbow Angle (Left)_avg_cycle_min","Wrist Angle (Right)_avg_cycle_length","Wrist Angle (Right)_avg_cycle_max","Wrist Angle (Right)_avg_cycle_min","Wrist Angle (Left)_avg_cycle_length","Wrist Angle (Left)_avg_cycle_max","Wrist Angle (Left)_avg_cycle_min","Ankle Angle (Right)_avg_cycle_length","Ankle Angle (Right)_avg_cycle_max","Ankle Angle (Right)_avg_cycle_min","Hip Angle (Left)_avg_cycle_length","Hip Angle (Left)_avg_cycle_max","Hip Angle (Left)_avg_cycle_min","Knee Angle (Left)_avg_cycle_length","Knee Angle (Left)_avg_cycle_max","Knee Angle (Left)_avg_cycle_min","Ankle Angle (Left)_avg_cycle_length","Ankle Angle (Left)_avg_cycle_max","Ankle Angle (Left)_avg_cycle_min","Tail Angle (Side View)_avg_cycle_length","Tail Angle (Side View)_avg_cycle_max","Tail Angle (Side View)_avg_cycle_min","Front Right Paw Velocity_avg_cycle_length","Front Right Paw Velocity_avg_cycle_max","Front Right Paw Velocity_avg_cycle_min","Front Right Paw Acceleration_avg_cycle_length","Front Right Paw Acceleration_avg_cycle_max","Front Right Paw Acceleration_avg_cycle_min","Front Left Paw Velocity_avg_cycle_length","Front Left Paw Velocity_avg_cycle_max","Front Left Paw Velocity_avg_cycle_min","Front Left Paw Acceleration_avg_cycle_length","Front Left Paw Acceleration_avg_cycle_max","Front Left Paw Acceleration_avg_cycle_min","Hind Right Paw Velocity_avg_cycle_length","Hind Right Paw Velocity_avg_cycle_max","Hind Right Paw Velocity_avg_cycle_min","Hind Right Paw Acceleration_avg_cycle_length","Hind Right Paw Acceleration_avg_cycle_max","Hind Right Paw Acceleration_avg_cycle_min","Hind Left Paw Velocity_avg_cycle_length","Hind Left Paw Velocity_avg_cycle_max","Hind Left Paw Velocity_avg_cycle_min","Hind Left Paw Acceleration_avg_cycle_length","Hind Left Paw Acceleration_avg_cycle_max","Hind Left Paw Acceleration_avg_cycle_min"
"251001_7DPI_01",32.6,0.0701899943016007,0.0395139894507655,28.6,0.0501189846496748,0.0181172496792044,31.4,0.1045704770064,0.0301891138375938,28.8,0.120090728983778,0.0425958603770719,30.2,0.015691520713149,0.00643225873548304,32.6,0.0137164932755054,0.00259309973522108,30,0.00894738707614058,0.0010077034401824,30.2,0.0181931552111089,0.00448669497588519,26.6666666666667,0.0741172157810771,0.0701677920214778,29.1666666666667,0.0704388241795687,0.0648470159108135,32,0.0577114905747892,0.0532285080509081,27.3333333333333,0.0555231414988887,0.0500869189441725,28.6666666666667,0.0505767048830193,0.0409860346268634,28.8333333333333,0.0446155246336328,0.0375275430759042,28.8333333333333,0.38821049387879,0.380879817809943,30.8,0.0560458851975483,0.0458012739472648,31.2,0.0736542590910724,0.0510008246755809,31.8,0.0700900689267787,0.0530432532543806,30.2,0.0209045060883329,0.0108068339415148,28.6666666666667,0.0505767048830193,0.0409860346268634,28.5,0.00865426297303612,0.000975852482983849,29.1666666666667,0.0229247726886682,0.01498508905271,32.6,0.0137164932755054,0.00259309973522108,35.8,0.0192610867230259,0.00379266129059044,28.6,0.0200755891084592,0.0116790184978472,30.8,128.194778234853,88.7804038390787,28.5,99.3760184445783,95.1999799689628,31.4,131.215158401171,126.613466855208,30.4,122.798221893551,116.995558525981,30.6,94.1161894052471,89.8608590499863,31.5,105.837999441317,101.973410108162,31.4,168.81836831428,163.975632047627,30.6,177.523480567815,134.593133405734,25.4285714285714,111.3095254322,76.2026069849844,33,99.8603267809401,95.3759433840876,29.8,87.3827751961695,83.2465779686194,32,103.05929151455,98.902330680618,29.3333333333333,168.170388578156,164.164453550278,33.4,0.00453185150532115,-0.000391661691884045,25,0.000431552844172614,-0.000480768133545886,35.5,0.000559360423428657,-0.000279579485383747,30.8,0.000300043366983533,-0.000219945402446787,30.75,0.00148042915493927,-0.000620305113823848,29.5,0.000107557741384606,-0.000171833979322711,34,0.00086199385654538,-0.000219773450626791,34.2,0.000352263949073829,-0.000316151045798406
"251001_7DPI_02",34.8,0.0711725980992763,0.0369994522650145,27.5714285714286,0.0430612058905753,0.0224166699616628,39.5,0.105069579572799,0.0296591839561481,35.8333333333333,0.109901765655574,0.0354668919980141,32.8333333333333,0.00917053626308338,0.00198926388457112,29.25,0.00675500149615328,0.0029529058770549,27.75,0.00740085983535695,0.00285531773232187,31,0.012030973689421,0.00316507342883518,35.5,0.0720398939072911,0.0658821855105307,25.75,0.0701615589857101,0.0646762767390676,27.75,0.0546886493277138,0.0500366268166139,36.1666666666667,0.0586321868875631,0.0504263300485583,34.5,0.0470696487927228,0.0381413305413966,33.1666666666667,0.0447183174711622,0.0377258341379311,25.7777777777778,0.391461649483436,0.386348166771846,34,0.0576322236474679,0.0468087875686651,25.2222222222222,0.0694685843054404,0.0527472511746247,31.8571428571429,0.0696121352360069,0.0526722365807819,33.3333333333333,0.0212695556206618,0.0138758194208078,34.5,0.0470696487927228,0.0381413305413966,32.8333333333333,0.00856275749667011,0.00146512834849405,23.6666666666667,0.0212444822583321,0.016698940155297,29.25,0.00675500149615328,0.0029529058770549,27.5,0.0208613525401978,0.0110100302530686,32.4285714285714,0.0100624097450164,0.000905036774232704,32.5,107.838568108742,103.612969040344,30.4285714285714,109.466759738797,71.058004546529,30.125,142.903287247328,109.723972193429,33.8571428571429,132.542734568311,101.992563604347,37.8,96.7369216572101,91.8960422175583,32.7142857142857,127.18843058209,87.9077888337862,24.4444444444444,168.775814662971,164.798046197601,30.7142857142857,171.410608548056,135.659910833229,32.2857142857143,106.294556214385,70.7453075716361,36.1666666666667,121.31587791258,87.5687626620878,31.1428571428571,104.612110285692,69.9856989433495,30.75,112.869475829679,73.4007269615349,31,179.02895262012,175.578689407932,31.8333333333333,0.00268331421841465,-0.000159318378917159,30,0.000611807061211459,-0.000538670605794406,24.7142857142857,0.000352981347608288,-0.000142905918834981,27.7142857142857,4.71777666505172e-05,-2.89393535824919e-05,33.8571428571429,0.00042371867532658,-0.000199779069772511,39.8333333333333,5.03282561334252e-05,-5.93014754898257e-05,33.4285714285714,0.000580402428761116,-0.000265038139879182,29.875,6.52710580367944e-05,-4.99860535200867e-05
"251001_7DPI_03",26.75,0.047411366655594,0.0457826050953265,26.3333333333333,0.0411258022092479,0.0212200200580783,33.3,0.0846319444604164,0.0524380598189457,34.4,0.0819432160323865,0.0399581750001591,31.4545454545455,0.00812927145728293,0.00262199291737411,31.9,0.00685077663649836,0.00187251525413164,31.1818181818182,0.00813940514911418,0.00562601837660598,28.2727272727273,0.00983065491355233,0.00284778094616066,29.8181818181818,0.0686795303418117,0.0656095234340145,32.4545454545455,0.0703228077566136,0.0668657818436622,33.6,0.054767248941264,0.0500106624456552,29.6666666666667,0.0555560171588188,0.0505029920575739,30.6666666666667,0.0423020926337788,0.037872458090182,33.25,0.0412278874958168,0.0359830983726788,29,0.390820586975058,0.386462477100785,41.8571428571429,0.059608853903352,0.0516213384818057,32.6666666666667,0.0711452839514163,0.0610416366713232,30.4166666666667,0.0694524879580941,0.0555960679845828,33.2222222222222,0.0217929568251108,0.0131164920341604,30.6666666666667,0.0423020926337788,0.037872458090182,28.75,0.00530099230055326,0.00141009106814324,29.75,0.0220794470934355,0.0195660603209273,31.9,0.00685077663649836,0.00187251525413164,30.25,0.0201468406938121,0.0137011108777583,35,0.0127383926652094,0.00529710303885873,30.5833333333333,118.590114135408,101.811413748184,29.2727272727273,104.643057986868,99.9462988300425,33.4,128.531259267489,124.921378028448,31.3,122.544491883962,118.481371127781,31.4,98.4221964855364,94.9039039824593,40.5,108.009918550241,103.981965324575,26,165.769315135456,143.441969844047,29.75,166.818331935301,144.390384064172,28.3,101.720193910961,96.7217098196615,26.8461538461538,110.373977104601,89.4179304255719,33,104.298148785983,81.1259136143831,29.3,108.570440598939,104.487870666296,42,39.7449813574886,36.0524606350413,25.9166666666667,0.00156993650520814,-0.000257180008188155,26.7692307692308,0.000244143477032188,-0.000205471444611011,27.9166666666667,0.000347255386034914,-0.000147206401218838,26,0.00011777617987854,-0.00012966648690145,50.2857142857143,0.000112601146200327,-2.44173967038631e-05,50.2857142857143,1.10006124462806e-05,1.46191931227463e-06,44.5,0.000250642224125432,-0.000104448319830979,41,1.76647774509572e-05,-7.35279271819562e-06
"251002_7DPI_01",30.4444444444444,0.0635774888169848,0.0371164439091672,29.2727272727273,0.0356365196679824,0.0273884857148907,32.3333333333333,0.0917671429433009,0.0561609272963222,34.6666666666667,0.091514635464326,0.069602769515581,26.5,0.0109164247001401,0.00463161512780983,24.9166666666667,0.00707261487500091,0.00316095497409779,26.8333333333333,0.00380616998728568,0.00137260129356871,27.7272727272727,0.0112858419602927,0.00409048503758957,25.6666666666667,0.0697312646541536,0.0654679626999875,29.3636363636364,0.072297404758176,0.0688599169335397,28.7272727272727,0.0540846569084512,0.0498225659860447,25.9166666666667,0.0580344952295722,0.0531408054610817,30.5,0.0475042904999027,0.0406479081794001,30.8888888888889,0.049969616286676,0.0441686619623305,30.3,0.392806643903366,0.385026998066504,33.3333333333333,0.0616160521397785,0.0523646279877545,28.4545454545455,0.0671233116066417,0.0592752430822506,30.7,0.072013063664072,0.0573822965589233,28,0.0297825380988377,0.0189393185068961,30.5,0.0475042904999027,0.0406479081794001,24.2727272727273,0.00913044896149952,0.00324953895324666,26.9166666666667,0.0225624710433094,0.0199752234796284,24.9166666666667,0.00707261487500091,0.00316095497409779,27.4545454545455,0.02118540400145,0.0139900470787469,36.8,-0.00675015178978677,-0.0137348364956525,28.4,105.256694002411,100.144446458751,33.7777777777778,109.065049896734,79.1978453603475,28.9090909090909,138.769455626269,121.670177156265,30.1,123.363829640425,118.925259243734,31.5555555555556,99.7524419324926,95.7991889236457,27.6363636363636,124.810073851985,96.4531000720938,31.1111111111111,171.219722503142,166.195150420124,26.25,157.152520353299,130.556393342525,27.1,93.9398939222186,89.7716943756665,25.9166666666667,111.55209952112,95.2742273899034,28,103.629454904525,71.6469392530602,34.8888888888889,116.475032255,77.3762577658659,38.5,171.168720848906,166.656635334656,30.4444444444444,0.00117132754305332,-0.000325594177584045,29.8888888888889,0.000308141388676185,-0.000245698697241778,29.875,0.000347444857018154,-0.000130389968006141,26.7777777777778,7.54233317089349e-05,-7.62502364915042e-05,33.5555555555556,0.000342159929627175,-0.000185644789773661,28,0.000110752974481539,-0.000131239444261437,28.0909090909091,0.000447733455851159,-5.93059026550789e-05,28,8.92406311069741e-05,-7.45387156950307e-05
"251002_7DPI_02",29.8,0.0650882816946832,0.0403335622733686,28.4,0.0429532758899711,0.0240131907274684,38,0.102225834341034,0.0502029108123754,40.6666666666667,0.11229723440445,0.0606637362853784,24.6666666666667,0.00781706569667458,0.00539317303079209,29.5,0.0045408877132855,0.00192009066706789,32,0.00726989731106633,0.00382775483995066,31.6,0.0141022830990423,0.0051407921451087,30,0.0687307883930854,0.0654869084136218,25,0.0717021406865632,0.0678097630456673,28.8333333333333,0.0521464394822302,0.0491699367619696,24.4285714285714,0.0578132601629714,0.0518631222884671,43.75,0.0484790604528115,0.0370224075122755,39.75,0.0479505589859826,0.0412762379930133,27.8333333333333,0.392340904017231,0.388975968835305,35.5,0.0599042518941723,0.0514575184559335,32.2,0.0682958016883545,0.0635754708339985,34,0.0703752261751611,0.0534887603914291,24,0.015027414144997,0.0109278520915668,43.75,0.0484790604528115,0.0370224075122755,24.6666666666667,0.00819958829671229,0.00637155947636583,24.1428571428571,0.0210845194696164,0.0176423769985007,29.5,0.0045408877132855,0.00192009066706789,24.5714285714286,0.0200656711066864,0.0111041801527528,21.75,0.00488773095032737,0.00023509357707446,26.8333333333333,107.324751562215,96.7361951128589,28.1666666666667,106.278297785507,83.6502899553129,23.7142857142857,133.972955959163,117.498800444488,28.8333333333333,126.506223870111,117.355963522511,30.3333333333333,96.7029722595522,93.2050961586134,36,112.573148821196,107.349931135884,38,171.74878485727,167.031412184112,31.2,165.920630819294,142.373866787578,24,92.6005667069614,75.2237381843317,24.7142857142857,107.351061659598,87.0177711989927,28.8333333333333,96.1609872277327,61.0198186460921,31,105.667183573519,69.4769852157531,28.3333333333333,164.037371091427,155.695552321292,29.3333333333333,0.000830843964073094,3.05602262295978e-05,33.4,0.000138302708055974,-0.000117765192309558,28.8,0.000122350056799048,-0.000120385313668105,28.1666666666667,2.79866241371615e-06,-4.08914717455976e-05,34.2,0.000446600844492008,-0.000124433085474435,23.5714285714286,6.81461245404601e-05,-5.44153406650817e-05,24.2857142857143,0.00124275695623939,-0.000244059467995428,28,0.000676131389997955,-0.000693901481473122
"251002_7DPI_03",27.8181818181818,0.055549901799783,0.0483886320736803,30.695652173913,0.0369025398339908,0.0237813137230492,30.5652173913043,0.0863176112540584,0.0659283344097459,31.2727272727273,0.103541151439305,0.0879255780317016,33.5714285714286,0.00822745494322362,0.00451420278810327,28,0.00649061908997848,0.00374593359299408,32.4545454545455,0.00704479504474171,0.00322522871642731,29,0.00645205439758737,0.00304964899485098,27.3846153846154,0.0675637096648673,0.0639327556620025,28.9166666666667,0.0680179590916146,0.0647895253064478,29.7083333333333,0.0516150133623699,0.0470262450375225,28.75,0.0521772823201402,0.0481486410860463,32.55,0.0348378865763165,0.0298894065743376,30.5454545454545,0.0355882287950989,0.03033394757212,38.0555555555556,0.390069516904548,0.384866646744069,31.5,0.0618493859037734,0.0565519878370892,27.96,0.0655128757152897,0.059538690086996,27.76,0.0654925645765694,0.0572971616468029,40.2352941176471,0.0346487824487555,0.0211266135162477,32.55,0.0348378865763165,0.0298894065743376,33.5714285714286,0.0080115431532575,0.0043199725536422,30.6521739130435,0.0204162323437794,0.0162062477716335,28,0.00649061908997848,0.00374593359299408,27.9583333333333,0.0200784564922913,0.0166760510895549,35.85,-0.0139619270289693,-0.0210146020185652,30.3913043478261,115.811636121185,105.065633256332,44.1333333333333,95.164393577046,90.827786614304,28.6086956521739,129.286739066139,125.172084326541,32.7142857142857,124.397043080592,119.517240593417,28.625,121.621893949194,104.963579230108,48.9285714285714,115.47381242953,111.121631733822,30.4090909090909,166.463560070431,162.101599296738,28.2,169.502968913267,148.856277314498,32.0952380952381,90.5589635713081,86.3585917453667,28,112.085384887818,100.304652460164,38.3125,98.5812580253277,94.8801914977023,27.16,100.807645064178,80.2618190464399,35.6842105263158,166.609619219524,154.66164448776,29.5833333333333,0.000512389439163452,-0.000158637942110537,28.4,0.000242062534307288,-0.000215758681254288,29.6666666666667,0.000252263873021093,-0.000175393954340718,28.48,0.000129731859279299,-0.000127623625553678,27.6315789473684,0.000151835892141433,-8.23908074961621e-05,39.5555555555556,2.53253728913604e-05,-1.66416014862341e-05,31.9545454545455,0.000294306103685009,-0.000192502071007306,29.0833333333333,0.00015006633327395,-0.000141342482553738
"251002_7DPI_04",26.5,0.0602413403378671,0.0457450033914486,31,0.0406648671068764,0.0252068789941467,36.0625,0.0863883615019338,0.0618242785705378,33,0.0917355712856203,0.0749651006088926,30.2222222222222,0.01054121699318,0.00601689159587919,30.0555555555556,0.00546394457079095,0.00273799206188302,28.75,0.00627127439917643,0.00226597890740648,28,0.00796705348756151,0.00424698797831702,30.8888888888889,0.0701059445543524,0.0667780424797378,26.952380952381,0.0706007658524271,0.0685699251785676,26.8636363636364,0.0543309986417858,0.0508417726425602,27.55,0.056461963771731,0.0529175341035306,33.125,0.0429987562039033,0.039942915743711,40.6923076923077,0.0461102422611358,0.0377983701974153,27.5238095238095,0.390231254482313,0.386923948636966,28.047619047619,0.0597942199119831,0.0556248485902082,27.2,0.0700037269372575,0.0639630835505878,31.7777777777778,0.0678067266341142,0.0602932848622496,31.5555555555556,0.0209540092461575,0.0122320389868713,33.125,0.0429987562039033,0.039942915743711,29.5789473684211,0.00840101682605067,0.00477998593747906,26.3809523809524,0.0214934022470955,0.017220889872042,30.0555555555556,0.00546394457079095,0.00273799206188302,30.4210526315789,0.0204892840331674,0.0167692185239229,34.7857142857143,0.00669819924275295,0.00233380959135079,36.8461538461538,117.282556717912,113.409273789537,32.2941176470588,104.256448167461,100.7176569167,33.6875,134.295590267225,129.761760745595,33.25,129.268953379643,124.842778482175,37.0714285714286,105.368201269094,101.209037333473,29.8421052631579,112.912191860501,108.642348569495,35.6,162.400460562428,158.224675231458,25.4545454545455,162.626721986165,137.325627369621,36.9230769230769,100.874500617672,96.4190835070501,28.0952380952381,116.324507873608,102.858595064774,29.9411764705882,102.000953999933,97.7635317264441,35.3333333333333,95.276158289391,90.6848606764122,36.25,155.591742957714,135.521152163872,27.3157894736842,0.000776235572734481,-0.000186622815200921,28.55,0.000136030525196393,-0.000128272797225414,28,0.000349986378148541,-0.000201223267213165,29.7647058823529,0.000230590969393985,-0.000198618347232451,32.2222222222222,0.000226456626519093,-0.000139204258677881,34.5882352941176,5.29912670100989e-05,-5.3761948318883e-05,32.7222222222222,0.000201923653844672,-0.000170395534614004,32.7222222222222,4.68313693137096e-05,-3.68872518667427e-05
